iteration,timestamp,phi_mode,phi_start_deg,phi_end_deg,phi_agent_0_deg,phi_agent_1_deg,phi_agent_2_deg,phi_agent_3_deg,phi_agent_4_deg,phi_agent_5_deg,phi_agent_6_deg,reward_mean,reward_min,reward_max,episode_len_mean,total_env_steps,ram_used_gb,ram_pct,reward_agent_0,reward_agent_1,reward_agent_2,reward_agent_3,reward_agent_4,reward_agent_5,reward_agent_6,gini,substrate,num_rollout_workers,train_batch_size,sgd_minibatch_size,rollout_fragment_length,fcnet_hiddens,post_fcnet_hiddens,lstm_cell_size,num_gpus
1,2026-03-04T12:17:42.194479,fixed,0.0,45.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,148.0,144.0,152.0,1149.0,12500,35.74,28.5,27.0,34.5,27.0,15.5,15.5,5.0,23.5,0.237452,commons_harvest__open,10,12500,256,250,"[64, 64]",[256],256,1
2,2026-03-04T12:30:34.281032,fixed,0.0,45.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,218.36363636363637,144.0,342.0,1535.3636363636363,25000,35.30,28.1,36.36363636363637,42.27272727272727,28.90909090909091,23.90909090909091,37.90909090909091,17.727272727272727,31.272727272727273,0.142738,commons_harvest__open,10,12500,256,250,"[64, 64]",[256],256,1
